0,30,none
1,22,0
2,14,0
3,9,1
4,15,1:3
5,23,none
6,10,none
7,9,none
8,14,4
9,28,7
10,23,7
11,5,7
12,9,10
13,16,none
14,9,4:2:0
15,30,none
16,16,4
17,25,none
18,9,14
19,19,15:4
20,10,none
21,16,16
22,30,7
23,21,none
24,15,21
25,30,7:6
26,6,none
27,21,3
28,10,19
29,9,18
30,17,20
31,9,none
32,9,17:7
33,13,6
34,11,28:9
35,29,17
36,11,12:22
37,15,5:17
38,8,27
39,13,none
40,22,2
41,11,none
42,30,19:30
43,28,none
44,5,24:15
45,18,9
46,6,10:13
47,6,32
48,8,none
49,9,none
50,7,26
51,29,43:14:20
52,23,none
53,23,5
54,20,53
55,10,41:27:25
56,8,none
57,22,51:55
58,16,5
59,9,none
60,5,none
61,29,none
62,21,8
63,17,none
64,12,31
65,25,7:22:26
66,14,none
67,28,29:8:58
68,16,47:23
69,27,32:34
70,20,16
71,29,38
72,6,62
73,20,32
74,6,none
75,9,47:16
76,29,71
77,12,none
78,11,none
79,14,9
80,20,67
81,6,59:8
82,15,54
83,6,none
84,16,54
85,5,none
86,26,none
87,13,7
88,16,19
89,13,5
90,25,17:47
91,8,24:20:13
92,17,56:60
93,9,51
94,28,28
95,9,none
96,15,none
97,18,8:11
98,14,none
99,30,31:81
100,12,47:22
101,7,none
102,6,12
103,11,4:83
104,30,47
105,19,none
106,18,65
107,27,none
108,23,76:13
109,11,87
110,26,none
111,6,5
112,8,none
